,sentence,pred_sentence_tok,sentence_tok,pred_sentence
0,พลโทแล้วเอาจริงจริงอ่ะนะถ้าผมได้เป็นทาหารแล้วเข้าไปในกรมอ่ะนะเออเมื่อวานเข้าไป,คน ถู แล้ว เอา จือ นะ ถ้า ผม ได้ เป็น หา แล้ว เข้าไป ใน ตม เห มือ ย นะ เออ มึง หมา ก็ ไป,พลโท แล้ว เอาจริง จริง อ่ะ นะ ถ้า ผม ได้ เป็น ทา หาร แล้ว เข้าไป ในกรม อ่ะ นะ เออ เมื่อวาน เข้าไป,คนถูแล้วเอาจือนะถ้าผมได้เป็นหาแล้วเข้าไปในตมเหมือยนะเออมึงหมาก็ไป
1,ใช้สองเครื่องนี้เล่นนะเห็นป้ะเนียอ่าเล่นอาโอวีได้น้าอ่าเห็นไหมอูหูวลื่นโคตรลื่น,ไร้ สอง เครื่อง นี้ เล่น นะ ใช กระ ดา อ่า ด้ ดา วี ได้ นะ อ่า ย ไว้ กู รื่น โค วต รหรื่,ใช้ สอง เครื่อง นี้ เล่น นะ เห็น ป้ะเนีย อ่า เล่น อา โอ วี ได้ น้า อ่า เห็น ไหม อู หู ว ลื่น โคตร ลื่น,ไร้สองเครื่องนี้เล่นนะใชกระดาอ่าด้ดาวีได้นะอ่ายไว้กูรื่นโควตรหรื่
2,เพื่อนว่าไงเข้าป่าวนาคอสเข้าดิวีร่าวีร่าวีร่าว่าไงโห่วีร่ามันมันหนีวะ,เป็น มะ ไง เขา ป่าว ม นะ คต เขา ดิ กู ได้หน้า วิ ด้า ไป ยา หู มิ ด่าน มัง มัน หนี ยู่ ว่ะ,เพื่อน ว่า ไง เข้า ป่า วนา คอ ส เข้า ดิ วี ร่า วี ร่า วี ร่า ว่า ไง โห่ วี ร่า มัน มัน หนี วะ,เป็นมะไงเขาป่าวมนะคตเขาดิกูได้หน้าวิด้าไปยาหูมิด่านมังมันหนียู่ว่ะ
3,ไม่กลับตายควยเป็นไง,ไม่ กลับ ตาย ควย เป็นไง,ไม่ กลับ ตาย ควย เป็นไง,ไม่กลับตายควยเป็นไง
4,โง่ดักดานจริงจริงเลยไอ้พวกเหี้ย,โง่ ดัน ดา จริง จริง เลย พวก เหี้ย,โง่ ดักดาน จริง จริง เลย ไอ้ พวก เหี้ย,โง่ดันดาจริงจริงเลยพวกเหี้ย
5,เห้ยให้มันโซโลอยู่โซโลอยู่ท่านผู้ชมเอาดิแวนแวนน่าจะตายผมนะผมน่าจะได้แวนนะ,เอ้ย ให้ มัน สลงอื่อง สลน อยู่ ทั้ง สม เอา ดี้แว๊น แวน หน้า กัด ตาย ผก นะ น่าจะ ได้ แบ๊ง นะ,เห้ย ให้ มัน โซโล อยู่ โซโล อยู่ ท่าน ผู้ชม เอา ดิ แวน แวน น่าจะ ตาย ผม นะ ผม น่าจะ ได้ แวน นะ,เอ้ยให้มันสลงอื่องสลนอยู่ทั้งสมเอาดี้แว๊นแวนหน้ากัดตายผกนะน่าจะได้แบ๊งนะ
6,ทำหน้าเจื่อนเจื่อน่ะเหี้ยตอนนั้นผมแบบรู้สึกผิดมากเหี้ยแบบผมอยากจะบอกขอโทษว่าเหี้ยกูขอโทษ,ถ้า น่จน เจือ น น่ะ ให้ ให้ ปน ท้ำผม แบน รู้สึก ผิด มาก เห ี้ แบบผม อยาก จะ บอก ขอโทษ ขา อ้อย ไูาขอ โท,ทำ หน้าเจื่อน เจื่อ น่ะ เหี้ย ตอนนั้น ผม แบบ รู้สึก ผิด มาก เหี้ย แบบผม อยาก จะ บอก ขอโทษ ว่า เหี้ย กู ขอโทษ,ถ้าน่จนเจือนน่ะให้ให้ปนท้ำผมแบนรู้สึกผิดมากเหี้แบบผมอยากจะบอกขอโทษขาอ้อยไูาขอโท
7,นี่ครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนหนึ่งโดนกล่าวหาว่าก๊อป,นี่ ครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน หนึ่ง โดน กล่าว หาว่า ก๊อ ป,นี่ ครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน หนึ่ง โดน กล่าว หาว่า ก๊อ ป,นี่ครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนหนึ่งโดนกล่าวหาว่าก๊อป
8,ฮากูมากป้ะ,ฮา กู มาก ป้ะ,ฮา กู มาก ป้ะ,ฮากูมากป้ะ
9,มึงให้กูเขียนว่าอะไรนะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึงให้กูเขียนว่าอะไรนะ
