,sentence,pred_sentence_tok,sentence_tok,pred_sentence
0,พลโทแล้วเอาจริงจริงอ่ะนะถ้าผมได้เป็นทาหารแล้วเข้าไปในกรมอ่ะนะเออเมื่อวานเข้าไป,คน ทูก์ แล้ว เอาจริง อ่ะ นะ ถ้า ผม ได้ เป็น หา ร่า เข้าไป ใน กร มะ น้ะ เออ มึ วาน ก็ ไป,พลโท แล้ว เอาจริง จริง อ่ะ นะ ถ้า ผม ได้ เป็น ทา หาร แล้ว เข้าไป ในกรม อ่ะ นะ เออ เมื่อวาน เข้าไป,คนทูก์แล้วเอาจริงอ่ะนะถ้าผมได้เป็นหาร่าเข้าไปในกรมะน้ะเออมึวานก็ไป
1,ใช้สองเครื่องนี้เล่นนะเห็นป้ะเนียอ่าเล่นอาโอวีได้น้าอ่าเห็นไหมอูหูวลื่นโคตรลื่น,ไอ้ สอง เครื่อง นี้ เล่น นะ ใช้ ป็นนีย อ่า เล่ะ ดาว วี ได้ นะ ไห่ แว๊ หู ลื่น โค,ใช้ สอง เครื่อง นี้ เล่น นะ เห็น ป้ะเนีย อ่า เล่น อา โอ วี ได้ น้า อ่า เห็น ไหม อู หู ว ลื่น โคตร ลื่น,ไอ้สองเครื่องนี้เล่นนะใช้ป็นนียอ่าเล่ะดาววีได้นะไห่แว๊หูลื่นโค
2,เพื่อนว่าไงเข้าป่าวนาคอสเข้าดิวีร่าวีร่าวีร่าว่าไงโห่วีร่ามันมันหนีวะ,ป็นบึาน ไง ข้าวป่า วนา คอ ส เก้า ดิ วี ได้ า วี ร่า วี ร่า ไป ไ โอ วี ร่า มัน มัน หนี ว่ะ,เพื่อน ว่า ไง เข้า ป่า วนา คอ ส เข้า ดิ วี ร่า วี ร่า วี ร่า ว่า ไง โห่ วี ร่า มัน มัน หนี วะ,ป็นบึานไงข้าวป่าวนาคอสเก้าดิวีได้าวีร่าวีร่าไปไโอวีร่ามันมันหนีว่ะ
3,ไม่กลับตายควยเป็นไง,แม่ ง กาบ ป้า ควย เป็นไง,ไม่ กลับ ตาย ควย เป็นไง,แม่งกาบป้าควยเป็นไง
4,โง่ดักดานจริงจริงเลยไอ้พวกเหี้ย,โง่ นัง ดา เจ ริ ง จริง เลย อ้วก เหี้ย,โง่ ดักดาน จริง จริง เลย ไอ้ พวก เหี้ย,โง่นังดาเจริงจริงเลยอ้วกเหี้ย
5,เห้ยให้มันโซโลอยู่โซโลอยู่ท่านผู้ชมเอาดิแวนแวนน่าจะตายผมนะผมน่าจะได้แวนนะ,เห้ยห้ มัน โซล งอ ย่าม ซลน อยู่ แช่ ชม เอ่าวดิ้ แวน แว นั้น จะ ตาย ผม นะ มึง น่าจะ ได้ แวน นะ,เห้ย ให้ มัน โซโล อยู่ โซโล อยู่ ท่าน ผู้ชม เอา ดิ แวน แวน น่าจะ ตาย ผม นะ ผม น่าจะ ได้ แวน นะ,เห้ยห้มันโซลงอย่ามซลนอยู่แช่ชมเอ่าวดิ้แวนแวนั้นจะตายผมนะมึงน่าจะได้แวนนะ
6,ทำหน้าเจื่อนเจื่อน่ะเหี้ยตอนนั้นผมแบบรู้สึกผิดมากเหี้ยแบบผมอยากจะบอกขอโทษว่าเหี้ยกูขอโทษ,ท้ำ น่า จจืน เจือ น น่ะ ให้ เห ีปนคน้งผม แบบ ม รู้สึก ผิด มาก เหี้ย แบบ พผม อยาก จะ บอก ขอโทษ เระ เอ้ย กู ขอโทษ,ทำ หน้าเจื่อน เจื่อ น่ะ เหี้ย ตอนนั้น ผม แบบ รู้สึก ผิด มาก เหี้ย แบบผม อยาก จะ บอก ขอโทษ ว่า เหี้ย กู ขอโทษ,ท้ำน่าจจืนเจือนน่ะให้เหีปนคน้งผมแบบมรู้สึกผิดมากเหี้ยแบบพผมอยากจะบอกขอโทษเระเอ้ยกูขอโทษ
7,นี่ครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนหนึ่งโดนกล่าวหาว่าก๊อป,เป็นครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน นึง โดน กล่าว หาว่า ก๊อ ป,นี่ ครั้งแรก ของ ผม เลย นะ ครับ ที่ ผม ได้ยิน ว่า ใคร สัก คน หนึ่ง โดน กล่าว หาว่า ก๊อ ป,เป็นครั้งแรกของผมเลยนะครับที่ผมได้ยินว่าใครสักคนนึงโดนกล่าวหาว่าก๊อป
8,ฮากูมากป้ะ,ห่า กู มาก ป้า,ฮา กู มาก ป้ะ,ห่ากูมากป้า
9,มึงให้กูเขียนว่าอะไรนะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึง ให้ กู เขียน ว่า อะไร นะ,มึงให้กูเขียนว่าอะไรนะ
